"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"0100008302","1","010010001","4","005","00670","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad6",1,2,6,1,1,1,1,4000,1,1,1,1,0,1,1,1,0,0,0,694,"E01","001",2014
"0100008303","1","010010001","4","005","00670","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad5",1,1,3,1,1,1,1,2000,1,1,1,1,0,1,1,1,1,0,0,694,"E01","001",2014
"0100008304","1","010010001","4","005","00670","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad6",1,2,5,1,1,1,1,4500,1,1,1,1,0,1,1,1,0,0,0,694,"E01","001",2014
"0100008305","1","010010001","4","005","00670","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad6",1,2,7,1,1,1,1,4000,1,1,1,1,0,1,1,1,1,0,0,694,"E01","001",2014
"0100010401","1","010010001","4","005","00600","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad6",1,2,8,1,1,1,1,3000,1,1,1,1,0,1,1,1,0,1,0,660,"E01","001",2014
"0100010402","1","010010001","4","005","00600","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad6",1,4,9,1,1,1,1,8000,1,1,1,1,0,1,1,1,0,0,0,660,"E01","001",2014
"0100010403","1","010010001","4","005","00600","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad4",1,2,6,1,1,1,1,4000,1,1,1,1,0,1,1,1,1,0,0,660,"E01","001",2014
"0100010404","1","010010001","4","005","00600","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad5",1,2,5,1,1,1,1,4000,1,1,1,1,0,1,1,1,1,0,0,660,"E01","001",2014
"0100010404","1","010010001","4","005","00600","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad5",1,2,5,1,1,1,1,4000,1,1,1,1,0,1,1,1,1,0,0,660,"E01","001",2014
"0100018702","1","010010001","3","004","00570","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad6",1,3,5,1,1,1,1,3500,1,1,1,1,0,1,1,1,0,0,0,583,"E01","001",2014
